Link;Image;Name;Release date;Weight;OS;Storage;Fans;Popularity;Hits;Screen_size;Screen_resolution;RAM;SOC;Battery;net2g;net3g;net4g;speed;year;status;dimensions;weight;sim;displaytype;displaysize;displayresolution;os;chipset;cpu;gpu;memoryslot;internalmemory;memoryother;cam1modules;cam1features;cam1video;cam2modules;cam2video;wlan;bluetooth;gps;nfc;radio;usb;sensors;batdescription1;colors;price;bodyother;displayprotection;optionalother;net5g;build;gprstext;edge;displayother;tbench;batlife
https://www.gsmarena.com/doogee_x98_pro-12129.php;https://fdn2.gsmarena.com/vv/bigpic/doogee-x98-pro.jpg;Doogee X98 Pro;Released 2022, November 10;8.8mm thickness;Android 12;64GB storage, microSDXC;0;0.7%;4,259 hits;"6.52""";720x1600 pixels;4 GB RAM;Helio G25;4200 mAh Li-Po;GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2;HSDPA 800 / 850 / 900 / 1700(AWS) / 1900 / 2100;1, 2, 3, 4, 5, 7, 8, 12, 13, 17, 18, 19, 20, 25, 26, 28, 34, 38, 39, 40, 41, 66;HSPA, LTE;2022, November;Available. Released 2022, November 10;165.3 x 76.3 x 8.8 mm (6.51 x 3.00 x 0.35 in);-;Hybrid Dual SIM (Nano-SIM, dual stand-by);IPS LCD;6.52 inches, 102.6 cm(~81.4% screen-to-body ratio);720 x 1600 pixels, 20:9 ratio (~269 ppi density);Android 12;Mediatek MT6762 Helio G25 (12 nm);Octa-core (4x2.0 GHz Cortex-A53 & 4x1.5 GHz Cortex-A53);PowerVR GE8320;microSDXC (uses shared SIM slot);64GB 4GB RAM;eMMC 5.1;12 MP, f/1.8, (wide), PDAF2 MP, (depth);Triple-LED flash, HDR, panorama;Yes;8 MP, f/2.2, (wide);Yes;Wi-Fi 802.11 a/b/g/n/ac, dual-band;5.0, A2DP, LE;GPS, GLONASS, BDS, GALILEO;No;FM radio;USB Type-C 2.0, OTG;Accelerometer, proximity, compass;Li-Po 4200 mAh, non-removable;Emerald Green, Ocean Blue, Graphite Gray;;;;;;;;;;;
https://www.gsmarena.com/doogee_x98-12130.php;https://fdn2.gsmarena.com/vv/bigpic/doogee-x98-pro.jpg;Doogee X98;Released 2022, November 10;8.8mm thickness;Android 12;16GB storage, microSDXC;0;0.2%;1,471 hits;"6.52""";720x1600 pixels;3 GB RAM;Helio A22;4200 mAh Li-Po;GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2;HSDPA 850 / 900 / 1900 / 2100;1, 3, 5, 7, 8, 20, 34, 38, 39, 40, 41;HSPA, LTE;2022, November;Available. Released 2022, November 10;165.3 x 76.3 x 8.8 mm (6.51 x 3.00 x 0.35 in);-;Hybrid Dual SIM (Nano-SIM, dual stand-by);IPS LCD;6.52 inches, 102.6 cm(~81.4% screen-to-body ratio);720 x 1600 pixels, 20:9 ratio (~269 ppi density);Android 12;Mediatek MT6761 Helio A22 (12 nm);Quad-core 2.0 GHz Cortex-A53;PowerVR GE8320;microSDXC (uses shared SIM slot);16GB 3GB RAM;eMMC 5.1;8 MP, f/1.8, (wide)2 MP, (depth);Triple-LED flash, HDR, panorama;Yes;5 MP, f/2.2, (wide);Yes;Wi-Fi 802.11 a/b/g/n/ac, dual-band;5.0, A2DP, LE;GPS, GLONASS, BDS, GALILEO;No;FM radio;USB Type-C 2.0, OTG;Accelerometer, proximity;Li-Po 4200 mAh, non-removable;Emerald Green, Ocean Blue, Graphite Gray;;;;;;;;;;;
https://www.gsmarena.com/doogee_s99-12128.php;https://fdn2.gsmarena.com/vv/bigpic/doogee-s99-.jpg;Doogee S99;Released 2022, December 05;15.5mm thickness;Android 12;128GB storage, microSDXC;2;0.9%;5,141 hits;"6.3""";1080x2340 pixels;8 GB RAM;Helio G96;6000 mAh Li-Po;GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2;HSDPA 800 / 850 / 900 / 1700(AWS) / 1900 / 2100;1, 2, 3, 4, 5, 7, 8, 12, 13, 17, 18, 19, 20, 25, 26, 28, 34, 38, 39, 40, 41, 66;HSPA, LTE;2022, December 05;Available. Released 2022, December 05;172 x 82 x 15.5 mm (6.77 x 3.23 x 0.61 in);-;Dual SIM (Nano-SIM, dual stand-by);IPS LCD;6.3 inches, 97.4 cm(~69.1% screen-to-body ratio);1080 x 2340 pixels, 19.5:9 ratio (~409 ppi density);Android 12;Mediatek MT6781 Helio G96 (12 nm);Octa-core (2x2.05 GHz Cortex-A76 & 6x2.0 GHz Cortex-A55);Mali-G57 MC2;microSDXC (dedicated slot);128GB 8GB RAM;;"108 MP, f/1.9, (wide), 1/1.52"", 0.7µm, PDAF64 MP, f/1.8, (night vision), 2 infrared night vision lights16 MP, f/1.8, 130˚ (ultrawide)";Dual-LED flash, HDR, panorama;1440p@30fps, 1080p@30fps;"32 MP, f/2.0, (wide), 1/2.8"", 0.8µm";1080p@30fps;Wi-Fi 802.11 a/b/g/n/ac, dual-band;5.1, A2DP, LE;GPS, GLONASS, GALILEO, BDS;Yes (market/region dependent);FM radio;USB Type-C 2.0, OTG;Fingerprint (side-mounted), accelerometer, gyro, proximity, compass;Li-Po 6000 mAh, non-removable;Gold, Black;;IP68/IP69K dust/water resistant (up to 1.5m for 30 min)Drop-to-concrete resistance from up to 1.8mMIL-STD-810H compliant;Corning Gorilla Glass;24-bit/192kHz audio;;;;;;;
https://www.gsmarena.com/doogee_v_max-12122.php;https://fdn2.gsmarena.com/vv/bigpic/doogee-v-max.jpg;Doogee V Max;Released 2023, February 13;27.3mm thickness;Android 12;256GB storage, microSDXC;18;1.3%;25,690 hits;"6.58""";1080x2408 pixels;12 GB RAM;Dimensity 1080;22000 mAh Li-Po;GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2;HSDPA 800 / 850 / 900 / 1700(AWS) / 1900 / 2100;1, 2, 3, 4, 5, 7, 8, 12, 17, 18, 19, 20, 25, 26, 28, 34, 38, 39, 40, 41, 66;HSPA, LTE, 5G;2023, February 13;Available. Released 2023, February 13;178.5 x 83.1 x 27.3 mm (7.03 x 3.27 x 1.07 in);-;Hybrid Dual SIM (Nano-SIM, dual stand-by);IPS LCD, 120Hz;6.58 inches, 104.3 cm(~70.3% screen-to-body ratio);1080 x 2408 pixels, 20:9 ratio (~401 ppi density);Android 12;Mediatek MT6877V Dimensity 1080 (6 nm);Octa-core (2x2.6 GHz Cortex-A78 & 6x2.0 GHz Cortex-A55);Mali-G68 MC4;microSDXC (uses shared SIM slot);256GB 12GB RAM;UFS 3.1;"108 MP, f/1.8, (wide), 1/1.52"", 0.7µm, PDAF20 MP, f/1.8, (night vision), 2 infrared night vision lights16 MP, f/2.2, 130˚ (ultrawide)";Dual-LED flash, HDR, panorama;4K@30fps, 1080p@30fps;"32 MP, f/1.8, (wide), 1/2.8"", 0.8µm";1440p, 1080p;Wi-Fi 802.11 a/b/g/n/ac/6, dual-band;5.2, A2DP, LE;GPS (L1+L5), GLONASS, GALILEO, BDS;Yes (market/region dependent);FM radio;USB Type-C 2.0, OTG;Fingerprint (side-mounted), accelerometer, gyro, proximity, compass;Li-Po 22000 mAh, non-removable;Sunshine Gold, Classic Black, Moonshine Silver;;IP68/IP69K dust/water resistant (up to 1.5m for 30 min)Drop-to-concrete resistance from up to 1.5mMIL-STD-810H compliant;Corning Gorilla Glass 5;24-bit/192kHz audio;1, 3, 7, 28, 38, 41, 77, 78, 79 SA/NSA;;;;;;
https://www.gsmarena.com/doogee_s100-12111.php;https://fdn2.gsmarena.com/vv/bigpic/doogee-s100-pro-.jpg;Doogee S100;Exp. release 2023, March;17.9mm thickness;Android 12;256GB storage, microSDXC;17;0.6%;20,081 hits;"6.58""";1080x2408 pixels;12 GB RAM;Helio G99;10800 mAh Li-Po;GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2;HSDPA 800 / 850 / 900 / 1700(AWS) / 1900 / 2100;1, 2, 3, 4, 5, 7, 8, 12, 13, 17, 18, 19, 20, 25, 26, 28, 34, 38, 39, 40, 41, 66, 71;HSPA, LTE;2023, February 07;Coming soon. Exp. release 2023, March;178.5 x 83.1 x 17.9 mm (7.03 x 3.27 x 0.70 in);-;Hybrid Dual SIM (Nano-SIM, dual stand-by);IPS LCD;6.58 inches, 104.3 cm(~70.3% screen-to-body ratio);1080 x 2408 pixels, 20:9 ratio (~401 ppi density);Android 12;Mediatek MT8781 Helio G99 (6nm);Octa-core (2x2.2 GHz Cortex-A76 & 6x2.0 GHz Cortex-A55);Mali-G57 MC2;microSDXC (uses shared SIM slot);256GB 12GB RAM;UFS 2.2;"108 MP, f/1.8, (wide), 1/1.52"", 0.7µm, PDAF20 MP, f/1.8, (night vision), 2 infrared night vision lights16 MP, f/2.2, 130˚ (ultrawide)";Dual-LED flash, HDR, panorama;1440p, 1080p;"32 MP, f/2.0, (wide), 1/2.8"", 0.8µm";1440p, 1080p;Wi-Fi 802.11 a/b/g/n/ac/6, dual-band;5.0, A2DP, LE;GPS, GLONASS, BDS, GALILEO;Yes (market/region dependent);FM radio;USB Type-C 2.0, OTG;Fingerprint (side-mounted), accelerometer, gyro, proximity, compass;Li-Po 10800 mAh, non-removable;Ice Blue, Cyber Yellow, Classic Black;;IP68/IP69K dust/water resistant (up to 1.5m for 30 min)Drop-to-concrete resistance from up to 1.5mMIL-STD-810H compliant;Corning Gorilla Glass;;;;;;;;
https://www.gsmarena.com/doogee_v30-12123.php;https://fdn2.gsmarena.com/vv/bigpic/doogee-v30.jpg;Doogee V30;Released 2022, December 22;376g, 18.3mm thickness;Android 12;256GB storage, microSDXC;6;0.6%;10,691 hits;"6.58""";1080x2408 pixels;8 GB RAM;Dimensity 900;10800 mAh Li-Po;GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2;HSDPA 800 / 850 / 900 / 1700(AWS) / 1900 / 2100;1, 2, 3, 4, 5, 7, 8, 12, 17, 18, 19, 20, 25, 26, 28, 34, 38, 39, 40, 41, 66;HSPA, LTE, 5G;2022, December 12;Available. Released 2022, December 22;178.4 x 83.1 x 18.3 mm (7.02 x 3.27 x 0.72 in);376 g (13.26 oz);Hybrid Dual SIM (Nano-SIM, eSIM, dual stand-by);IPS LCD, 120Hz;6.58 inches, 104.3 cm(~70.4% screen-to-body ratio);1080 x 2408 pixels, 20:9 ratio (~401 ppi density);Android 12;Mediatek MT6877 Dimensity 900 (6 nm);Octa-core (2x2.4 GHz Cortex-A78 & 6x2.0 GHz Cortex-A55);Mali-G68 MC4;microSDXC (uses shared SIM slot);256GB 8GB RAM;UFS 3.1;"108 MP, f/1.8, (wide), 1/1.52"", 0.7µm, PDAF20 MP, f/1.8, (night vision), 2 infrared night vision lights16 MP, f/2.2, 130˚ (ultrawide)";Dual-LED flash, HDR, panorama;4K@30fps, 1080p@30fps;"32 MP, f/2.0, (wide), 1/2.8"", 0.8µm";4K@30fps, 1080p@30fps;Wi-Fi 802.11 a/b/g/n/ac/6, dual-band;5.2, A2DP, LE;GPS (L1+L5), GLONASS, GALILEO, BDS;Yes (market/region dependent);FM radio;USB Type-C 2.0, OTG;Fingerprint (side-mounted), accelerometer, gyro, proximity, compass;Li-Po 10800 mAh, non-removable;Orange, Black;;IP68/IP69K dust/water resistant (up to 1.5m for 30 min)Drop-to-concrete resistance from up to 1.8mMIL-STD-810H compliant;Corning Gorilla Glass 5;24-bit/192kHz audio;1, 3, 7, 28, 38, 41, 77, 78, 79 SA/NSA;;;;;;
https://www.gsmarena.com/doogee_t20-12132.php;https://fdn2.gsmarena.com/vv/bigpic/doogee-t20.jpg;Doogee T20;Released 2022, December 22;478g, 7.9mm thickness;Android 12;256GB storage, microSDXC;2;0.4%;2,773 hits;"10.4""";1200x2000 pixels;8 GB RAM;Unisoc Tiger T616;8300 mAh Li-Po;GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2;HSDPA 850 / 900 / 1900 / 2100;1, 3, 5, 7, 8, 20, 34, 38, 39, 40, 41;HSPA, LTE;2022, December 22;Available. Released 2022, December 22;245.8 x 155.6 x 7.9 mm (9.68 x 6.13 x 0.31 in);478 g (1.05 lb);Hybrid Dual SIM (Nano-SIM, dual stand-by);IPS LCD, 320 nits (peak);10.4 inches, 307.9 cm(~80.5% screen-to-body ratio);1200 x 2000 pixels, 5:3 ratio (~224 ppi density);Android 12;Unisoc Tiger T616 (12 nm);Octa-core (2x2.0 GHz Cortex-A75 & 6x1.8 GHz Cortex-A55);Mali-G57 MP1;microSDXC (uses shared SIM slot);256GB 8GB RAM;UFS 2.1;"16 MP, 1/3"", 1.0µm";LED flash, HDR, panorama;1440p@30fps, 1080p@30fps;8 MP;1080p@30fps;Wi-Fi 802.11 a/b/g/n/ac, dual-band;5.0, A2DP, LE;GPS, GLONASS, GALILEO, BDS;No;FM radio;USB Type-C 2.0, OTG, accessory connector;Accelerometer, proximity (accessories only);Li-Po 8300 mAh, non-removable;Gray, Blue, Green;About 200 EUR;Stylus support;;24-bit/192kHz audio;;;;;;;
https://www.gsmarena.com/doogee_t10-11969.php;https://fdn2.gsmarena.com/vv/bigpic/doogee-t10.jpg;Doogee T10;Released 2022, November 01;7.5mm thickness;Android 12;128GB storage, microSDXC;6;0.2%;20,446 hits;"10.1""";1200x1920 pixels;8 GB RAM;Unisoc T606;8300 mAh Li-Po;GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2;HSDPA 850 / 900 / 1900 / 2100;1, 3, 5, 7, 20, 34, 38, 39, 40, 41;HSPA, LTE;2022, November 01;Available. Released 2022, November 01;242.3 x 161.1 x 7.5 mm (9.54 x 6.34 x 0.30 in);-;Hybrid Dual SIM (Nano-SIM, dual stand-by);IPS LCD, 300 nits (typ);10.1 inches, 295.8 cm(~75.8% screen-to-body ratio);1200 x 1920 pixels, 16:10 ratio (~224 ppi density);Android 12;Unisoc T606 (12 nm);Octa-core (2x1.6 GHz Cortex-A75 & 6x1.6 GHz Cortex-A55);Mali-G57 MP1;microSDXC (uses shared SIM slot);128GB 8GB RAM;eMMC 5.1;13 MPsecondary unspecified camera;LED flash, HDR, panorama;1440p@30fps, 1080p@30fps;8 MP;1080p@30fps;Wi-Fi 802.11 a/b/g/n/ac, dual-band;5.0, A2DP, LE;GPS, GLONASS, GALILEO, BDS;No;FM radio;USB Type-C 2.0, OTG;Gyro;Li-Po 8300 mAh, non-removable;Space Gray, Moonlight Silver, Neptune Blue;About 140 EUR;;;;;Glass front, aluminum frame, aluminum back;;;;;
https://www.gsmarena.com/doogee_s96_gt-11934.php;https://fdn2.gsmarena.com/vv/bigpic/doogee-s96-gt.jpg;Doogee S96 GT;Released 2022, October 13;310g, 15.5mm thickness;Android 12;256GB storage, microSDXC;11;0.2%;45,948 hits;"6.22""";720x1520 pixels;8 GB RAM;Helio G95;6350 mAh Li-Po;GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2;HSDPA 800 / 850 / 900 / 1700(AWS) / 1900 / 2100;1, 2, 3, 4, 5, 7, 8, 12, 17, 18, 19, 20, 25, 26, 28, 38, 40, 41, 66;HSPA, LTE;2022, October 13;Available. Released 2022, October 13;167 x 81.4 x 15.5 mm (6.57 x 3.20 x 0.61 in);310 g (10.93 oz);Dual SIM (Nano-SIM, dual stand-by);IPS LCD;6.22 inches, 96.6 cm(~71.0% screen-to-body ratio);720 x 1520 pixels, 19:9 ratio (~270 ppi density);Android 12;Mediatek Helio G95 (12 nm);Octa-core (2x2.05 GHz Cortex-A76 & 6x2.0 GHz Cortex-A55);Mali-G76 MC4;microSDXC (dedicated slot);256GB 8GB RAM;UFS;48 MP, f/1.8, (wide), PDAF8 MP, f/2.2, 130˚, (ultrawide)20 MP, f/1.8, (night vision), 4 infrared night vision lights2 MP, f/2.8, (depth);Quad-LED flash, HDR, panorama;4K, 1080p;32 MP, f/2.0, (ultrawide), AF;1080p;Wi-Fi 802.11 a/b/g/n/ac, dual-band;5.0, A2DP, LE;GPS, GLONASS, BDS, GALILEO;Yes;FM radio;USB Type-C 2.0, OTG;Fingerprint (side-mounted), accelerometer, gyro, proximity, compass;Li-Po 6350 mAh, non-removable;Black, Orange, Gold;;IP68/IP69K dust/water resistant (up to 1.5m for 30 min)Drop-to-concrete resistance from up to 1.8mMIL-STD-810H compliant;Corning Gorilla Glass;;;;;;;;
https://www.gsmarena.com/doogee_s89-11775.php;https://fdn2.gsmarena.com/vv/bigpic/doogee-s89.jpg;Doogee S89;Released 2022, August 28;400g, 19.4mm thickness;Android 12;128GB storage, microSDXC;6;0.2%;33,067 hits;"6.3""";1080x2340 pixels;8 GB RAM;Helio P90;12000 mAh Li-Po;GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2;HSDPA 800 / 850 / 900 / 1700(AWS) / 1900 / 2100;1, 2, 3, 4, 5, 7, 8, 12, 13, 17, 18, 19, 20, 25, 26, 28, 34, 38, 39, 40, 41, 66;HSPA, LTE;2022, August 22;Available. Released 2022, August 28;172 x 86 x 19.4 mm (6.77 x 3.39 x 0.76 in);400 g (14.11 oz);Dual SIM (Nano-SIM, dual stand-by);IPS LCD;6.3 inches, 97.4 cm(~65.9% screen-to-body ratio);1080 x 2340 pixels, 19.5:9 ratio (~409 ppi density);Android 12;Mediatek MT6779 Helio P90 (12 nm);Octa-core (2x2.1 GHz Cortex-A75 & 6x2.0 GHz Cortex-A55);PowerVR GM9446;microSDXC (dedicated slot);128GB 8GB RAM;;48 MP, f/1.8, (wide), PDAF8 MP, f/2.2, 130˚, (ultrawide)20 MP, f/1.8, (night vision), 4 infrared night vision lights;Dual-LED flash, HDR, panorama;1440p, 1080p;16 MP, f/2.0, (wide);1080p;Wi-Fi 802.11 a/b/g/n/ac, dual-band;5.1, A2DP, LE;GPS, GLONASS, BDS, GALILEO;Yes;FM radio;USB Type-C 2.0, OTG;Fingerprint (side-mounted), accelerometer, gyro, proximity, compass;Li-Po 12000 mAh, non-removable;Black, Orange;About 280 EUR;IP68/IP69K dust/water resistant (up to 1.5m for 30 min)Drop-to-concrete resistance from up to 1.5mMIL-STD-810G compliant;Corning Gorilla Glass;;;;;;;;
